layer,clean_emotion_k80,clean_emotion_rank,clean_projection_top80,clean_projection_full,clean_principal_angle_deg,clean_random_expected,clean_random_p,raw_emotion_k80,raw_projection_top80,raw_projection_full,raw_random_expected,raw_random_p,mean_pair_projection_fraction,std_pair_projection_fraction,min_pair_projection_fraction,clean_random_p_bonferroni,raw_random_p_bonferroni,mean_pairwise_cosine,min_pairwise_cosine,emotion_valence_strength,mean_split_half_cosine,median_split_half_cosine,neutral_components_removed,stage1_selected_layer
0,52,170,0.2653765380382538,0.36815476417541504,58.99271191828122,0.012723268901394667,7.88453171702355e-228,50,0.2739129364490509,0.3866514563560486,0.01220703125,8.166404108777191e-240,0.2421751320362091,0.04937693476676941,0.15690244734287262,3.1538126868094198e-226,3.266561643510876e-238,0.7021812796592712,0.6098165512084961,0.2188963337507507,0.9969013333320618,0.9971466660499572,9,False
1,43,170,0.3038295805454254,0.4326879382133484,56.55011593150678,0.010518590998043052,1.173709206807254e-280,40,0.32167965173721313,0.4546637237071991,0.009765625,3.884377636648791e-306,0.2822900712490082,0.037792302668094635,0.21612399816513062,4.694836827229017e-279,1.5537510546595163e-304,0.7333069443702698,0.6721699237823486,0.529205914613876,0.9969934225082396,0.9973313808441162,8,False
2,32,170,0.31811293959617615,0.478593647480011,55.66607973139974,0.007823960880195598,4.640417754452296e-308,11,0.24071237444877625,0.5237902998924255,0.002685546875,1.346417705813615e-234,0.30893224477767944,0.04825839027762413,0.2493123710155487,1.8561671017809185e-306,5.38567082325446e-233,0.7200943231582642,0.6099770069122314,0.1195731291393311,0.9948869943618774,0.9954400062561036,6,False
3,32,170,0.29630205035209656,0.4743501543998718,57.02067695266739,0.007825874296894107,1.0556837410653418e-280,13,0.2677296996116638,0.5235046744346619,0.003173828125,2.145569712600473e-264,0.288863867521286,0.037912242114543915,0.23831488192081451,4.222734964261367e-279,8.582278850401893e-263,0.7491503953933716,0.6428360939025879,0.0758627930594157,0.9941731095314026,0.9948740005493164,7,False
4,26,170,0.2693312168121338,0.4657110273838043,58.73672597324523,0.006358522866226461,2.2328138860440977e-253,10,0.19984078407287598,0.5197666883468628,0.00244140625,1.813600027495386e-189,0.25660428404808044,0.042931683361530304,0.1923132687807083,8.931255544176391e-252,7.254400109981544e-188,0.7682198882102966,0.6423007249832153,0.0921081112963554,0.9915602803230286,0.9929571747779846,7,False
5,13,170,0.24577917158603668,0.5129258036613464,60.28004246378523,0.0031746031746031746,2.3702626104358634e-238,1,0.0023392518050968647,0.5111660957336426,0.000244140625,0.0019571592459078292,0.23035326600074768,0.037712134420871735,0.18701642751693726,9.481050441743453e-237,0.07828636983631317,0.7775623202323914,0.6496368646621704,0.1601402738387579,0.9891827702522278,0.9921647310256958,1,False
6,13,170,0.18507209420204163,0.49091243743896484,64.51974268916773,0.0031746031746031746,2.0822288016686218e-170,1,0.004009660333395004,0.48969778418540955,0.000244140625,4.9935489982368314e-05,0.17811723053455353,0.02005895972251892,0.15098856389522552,8.328915206674488e-169,0.0019974195992947326,0.7715848088264465,0.6418610215187073,0.2058438311458673,0.987574815750122,0.990935742855072,1,False
7,13,170,0.1637399047613144,0.49235695600509644,66.13093678264731,0.0031746031746031746,8.53710433402487e-148,1,0.007163196802139282,0.49342238903045654,0.000244140625,5.781600246097512e-08,0.15954473614692688,0.00757051445543766,0.1499255895614624,3.414841733609948e-146,2.312640098439005e-06,0.7686282396316528,0.6483209133148193,0.2156157707630465,0.9860461354255676,0.9899691939353944,1,False
8,13,170,0.1671203374862671,0.5232130289077759,65.87030256732947,0.0031746031746031746,2.4525629984856887e-151,1,0.008956167846918106,0.5265539288520813,0.000244140625,1.2847994100354807e-09,0.16470690071582794,0.007184265647083521,0.15325236320495605,9.810251993942754e-150,5.139197640141923e-08,0.7738943696022034,0.6670941114425659,0.1268354174746429,0.9851047396659852,0.9893763661384584,1,False
9,12,170,0.25189095735549927,0.5702780485153198,59.87505218841632,0.0029304029304029304,1.5217141695869214e-246,1,0.013571676798164845,0.5748075842857361,0.000244140625,7.434644845886839e-14,0.23155951499938965,0.03542463108897209,0.16851048171520233,6.086856678347686e-245,2.9738579383547353e-12,0.8111728429794312,0.7263799905776978,0.2038875141769602,0.9852216243743896,0.9892027974128724,1,False
