condition,layer,mean_delta_sycophancy_projection,sycophancy_ci_low,sycophancy_ci_high,mean_delta_emotion_projection,emotion_ci_low,emotion_ci_high
emotion_orthogonal,22,-0.016512857377529146,-0.021862469650804996,-0.01095812536776066,3.0551243841648104,3.0393499967455866,3.070520333945751
emotion_orthogonal,23,-0.02064864933490753,-0.027527004946023226,-0.013448596168309455,2.921015553176403,2.8978521163016557,2.9449244444817304
emotion_orthogonal,24,-0.016525108367204666,-0.024812602940946817,-0.008483632467687132,2.8055742248892783,2.780823388621211,2.831072961837053
emotion_orthogonal,25,-0.008296690881252289,-0.017499376386404038,0.0013036630302667592,2.7483013406395913,2.7201867055892945,2.777824592553079
emotion_orthogonal,26,-0.0011725187301635741,-0.012205139212310315,0.010463768430054178,2.692035676538944,2.658250470720232,2.725999274216592
emotion_orthogonal,27,-0.002493910491466522,-0.014657224304974079,0.009479925185441966,2.6318462759256365,2.594058266058564,2.6698936507478357
emotion_orthogonal,28,-0.03801186084747314,-0.05046826899051666,-0.025060806050896646,2.5879830688238146,2.5481968863308433,2.6291657231748107
emotion_orthogonal,29,-0.035025654733181,-0.048966186493635176,-0.02134997494518759,2.5470268696546556,2.503313909769058,2.5929451597481963
emotion_orthogonal,30,-0.04161093086004257,-0.0573904244415462,-0.025965978130698213,2.541540044546127,2.492645382061601,2.5930562034249305
emotion_orthogonal,31,-0.07119089215993882,-0.0871114419400692,-0.05447047259658575,2.520036292076111,2.4706404964625834,2.5705249007046223
emotion_orthogonal,32,-0.0999501459300518,-0.1184421732276678,-0.08061625804752111,2.572844272851944,2.521495050191879,2.6258430947363376
emotion_orthogonal,33,-0.11903334632515908,-0.14078211281448602,-0.09642300769686701,2.5743757367134092,2.5211257949471473,2.6278564251959327
emotion_orthogonal,34,-0.06345600485801697,-0.09067997917532922,-0.034019409269094476,2.7120924413204195,2.6465382117033007,2.77705121524632
emotion_orthogonal,35,-0.034243881702423096,-0.06863406836986542,-0.00033024519681931877,2.696321612596512,2.632161519378424,2.76248419880867
emotion_orthogonal,36,-0.016237783432006835,-0.05052994072437286,0.01931185483932494,2.711523523926735,2.6423320984095335,2.7854889491945505
emotion_orthogonal,37,0.03591153621673584,-0.00662135362625122,0.08087225556373591,2.7376508712768555,2.659624934196472,2.819176604151726
emotion_orthogonal,38,-0.010814499855041505,-0.06299786329269409,0.037501389384269584,2.7164965987205507,2.631065908074379,2.802304326593876
emotion_orthogonal,39,1.8821433544158936,1.1911902594566346,2.5399523627758014,24.39360716342926,23.359885210990907,25.407955308556556
emotion_orthogonal_matched,22,-0.013566939532756806,-0.019264500439167023,-0.007590125948190697,3.1277233481407167,3.1120176107436417,3.143258071541786
emotion_orthogonal_matched,23,-0.017740359902381896,-0.024375229850411413,-0.01048858277499676,2.9905689105391504,2.966533257551491,3.015251416452229
emotion_orthogonal_matched,24,-0.013653146475553513,-0.02253065012395382,-0.005184887703508143,2.8722798392176627,2.846806742399931,2.897658225297928
emotion_orthogonal_matched,25,-0.005554947257041931,-0.01512147530913353,0.004196278713643548,2.8141149893403052,2.7848974461108447,2.843514484465122
emotion_orthogonal_matched,26,0.0017074942588806152,-0.009412895813584328,0.013313945345580575,2.7565721943974495,2.7222956398501994,2.7924830405786634
emotion_orthogonal_matched,27,0.0003555700182914734,-0.01209916017949581,0.01268058642745017,2.6951294034719466,2.6572790513187647,2.7345069682598115
emotion_orthogonal_matched,28,-0.035964135825634,-0.04894343625754118,-0.023009854070842283,2.6502522736787797,2.6103525184839964,2.6921906038373704
emotion_orthogonal_matched,29,-0.03309247344732284,-0.04766734085977077,-0.018606580011546615,2.6081939429044723,2.5644211712479588,2.656016251817346
emotion_orthogonal_matched,30,-0.039960166066884996,-0.05613086344674229,-0.02335973788052798,2.6025120675563813,2.5540231423825026,2.653457886055112
emotion_orthogonal_matched,31,-0.07053667455911636,-0.08764312669634819,-0.053806316070258625,2.5802780866622923,2.5297620107233523,2.632428092956543
emotion_orthogonal_matched,32,-0.09963223189115525,-0.11879163052886725,-0.07959604661911729,2.6340896785259247,2.581565874516964,2.687909931540489
emotion_orthogonal_matched,33,-0.1183833785355091,-0.1399056797474623,-0.09460539450868966,2.6355226218700407,2.5790985734760765,2.6911773405969144
emotion_orthogonal_matched,34,-0.061937415599823,-0.09051541954278947,-0.03238230049610139,2.7767184376716614,2.711738699302077,2.8439194324612616
emotion_orthogonal_matched,35,-0.03176097869873047,-0.06696652591228486,0.003174328804016074,2.760790354013443,2.692154152393341,2.8286394508183
emotion_orthogonal_matched,36,-0.01398775577545166,-0.04877894341945648,0.022413581013679466,2.7763169437646864,2.7058714075386523,2.847755593806505
emotion_orthogonal_matched,37,0.03979511260986328,-0.0056093245744705195,0.0845296227931976,2.804185128211975,2.7259270471334456,2.887235412597656
