emotion,condition,layer,overlap_cosine,parallel_fraction,mean_delta_sycophancy_projection,mean_delta_emotion_projection
empathetic,full,22,0.10665563,0.011375413,0.514964896440506,4.096210551261902
empathetic,full,23,0.10665563,0.011375413,0.47806884348392487,3.938091218471527
empathetic,full,24,0.10665563,0.011375413,0.4714923456311226,3.8231173038482664
empathetic,full,25,0.10665563,0.011375413,0.49854063242673874,3.724623906612396
empathetic,full,26,0.10665563,0.011375413,0.48178850263357165,3.6502959370613097
empathetic,full,27,0.10665563,0.011375413,0.4839147537946701,3.566237437725067
empathetic,full,28,0.10665563,0.011375413,0.45410879105329516,3.4982045173645018
empathetic,full,29,0.10665563,0.011375413,0.4507822901010513,3.4407597303390505
empathetic,full,30,0.10665563,0.011375413,0.4308883011341095,3.441957211494446
empathetic,full,31,0.10665563,0.011375413,0.38709833174943925,3.4048256635665894
empathetic,full,32,0.10665563,0.011375413,0.38230656608939173,3.4468220472335815
empathetic,full,33,0.10665563,0.011375413,0.4430020831525326,3.4248859167098997
empathetic,full,34,0.10665563,0.011375413,0.44376637861132623,3.4326762795448302
empathetic,full,35,0.10665563,0.011375413,0.424639130756259,3.35513414144516
empathetic,full,36,0.10665563,0.011375413,0.3469567598775029,3.37864351272583
empathetic,full,37,0.10665563,0.011375413,0.3398538025096059,3.4686501145362856
empathetic,full,38,0.10665563,0.011375413,0.3768711656332016,3.2138289332389833
empathetic,full,39,0.10665563,0.011375413,4.189107036590576,28.627002811431886
empathetic,orthogonal_matched,22,0.10665563,0.011375413,0.07282834835350513,4.062383615970612
empathetic,orthogonal_matched,23,0.10665563,0.011375413,0.04487897767685354,3.907370221614838
empathetic,orthogonal_matched,24,0.10665563,0.011375413,0.041846659407019614,3.7957721829414366
empathetic,orthogonal_matched,25,0.10665563,0.011375413,0.0631151213310659,3.6899237275123595
empathetic,orthogonal_matched,26,0.10665563,0.011375413,0.05097330682910979,3.6156972885131835
empathetic,orthogonal_matched,27,0.10665563,0.011375413,0.056773257744498554,3.5304623365402223
empathetic,orthogonal_matched,28,0.10665563,0.011375413,0.028435916313901542,3.466027629375458
empathetic,orthogonal_matched,29,0.10665563,0.011375413,0.027791912551037967,3.408661901950836
empathetic,orthogonal_matched,30,0.10665563,0.011375413,-0.0032112037879414856,3.406871199607849
empathetic,orthogonal_matched,31,0.10665563,0.011375413,-0.04459629696793854,3.373497951030731
empathetic,orthogonal_matched,32,0.10665563,0.011375413,-0.062299983017146586,3.413995397090912
empathetic,orthogonal_matched,33,0.10665563,0.011375413,-0.015085701644420624,3.3907513856887816
empathetic,orthogonal_matched,34,0.10665563,0.011375413,-0.02164399968460202,3.402218520641327
empathetic,orthogonal_matched,35,0.10665563,0.011375413,-0.05997812924906611,3.3177699208259583
empathetic,orthogonal_matched,36,0.10665563,0.011375413,-0.1456634876318276,3.341103172302246
empathetic,orthogonal_matched,37,0.10665563,0.011375413,-0.2255451139062643,3.4217395544052125
empathetic,orthogonal_matched,38,0.10665563,0.011375413,-0.19490708094090223,3.159419286251068
empathetic,orthogonal_matched,39,0.10665563,0.011375413,-0.4659521088004112,28.346678161621092
exuberant,full,22,0.12215417,0.014921632,0.306836773455143,2.8598639965057373
exuberant,full,23,0.12215417,0.014921632,0.30393115282058714,2.719065761566162
exuberant,full,24,0.12215417,0.014921632,0.3041168123483658,2.62007999420166
exuberant,full,25,0.12215417,0.014921632,0.27732579633593557,2.554918575286865
exuberant,full,26,0.12215417,0.014921632,0.27520513013005254,2.496092689037323
exuberant,full,27,0.12215417,0.014921632,0.27588769644498823,2.4372286200523376
exuberant,full,28,0.12215417,0.014921632,0.26401708126068113,2.4003212690353393
exuberant,full,29,0.12215417,0.014921632,0.26392159834504125,2.342679035663605
exuberant,full,30,0.12215417,0.014921632,0.26727028116583823,2.3342928647994996
exuberant,full,31,0.12215417,0.014921632,0.26096052676439285,2.3140445947647095
exuberant,full,32,0.12215417,0.014921632,0.3012032598257065,2.3361188530921937
exuberant,full,33,0.12215417,0.014921632,0.3214543841779232,2.3523295879364015
exuberant,full,34,0.12215417,0.014921632,0.3770972415804863,2.452426755428314
exuberant,full,35,0.12215417,0.014921632,0.3993623375892639,2.4344310760498047
exuberant,full,36,0.12215417,0.014921632,0.4159806236624718,2.4030723690986635
exuberant,full,37,0.12215417,0.014921632,0.5015479788184166,2.456653094291687
exuberant,full,38,0.12215417,0.014921632,0.4830816641449928,2.375180220603943
exuberant,full,39,0.12215417,0.014921632,4.91775643825531,17.664705419540404
exuberant,orthogonal_matched,22,0.12215417,0.014921632,-0.05606745202094317,2.835934269428253
exuberant,orthogonal_matched,23,0.12215417,0.014921632,-0.05056899096816778,2.697485888004303
exuberant,orthogonal_matched,24,0.12215417,0.014921632,-0.0457918462343514,2.598003315925598
exuberant,orthogonal_matched,25,0.12215417,0.014921632,-0.07779312934726476,2.5352604031562804
