layer,emotion_persona_invariance_cosine,persona_emotion_invariance_cosine,interaction_norm,interaction_relative
0,0.9993673,0.99897194,0.008971064,0.035574324
1,0.9992494,0.9961832,0.010951723,0.03880791
2,0.981831,0.9945228,0.071573146,0.19764261
3,0.9833776,0.99313855,0.075290166,0.18715997
4,0.9855282,0.99372077,0.07738536,0.17341201
5,0.9993824,0.9932574,0.016754247,0.035236247
6,0.9993923,0.98971987,0.019359306,0.035164557
7,0.99929327,0.9881614,0.02365027,0.03778762
8,0.9985664,0.98775905,0.036503166,0.05357474
9,0.9982111,0.99316746,0.044214956,0.059864584
10,0.9973794,0.99410915,0.065659866,0.07344178
11,0.9967598,0.99334025,0.083418526,0.08182886
12,0.99641234,0.9920035,0.090083964,0.08610038
13,0.9954363,0.989855,0.11113171,0.09818973
14,0.99435866,0.98631704,0.14001611,0.109257735
15,0.995041,0.9883397,0.1430112,0.102257214
16,0.99559104,0.98973846,0.15671194,0.09662651
17,0.9948077,0.98487973,0.1765453,0.10506733
18,0.99423504,0.98653114,0.2071928,0.11054495
19,0.9941433,0.98674554,0.23015045,0.11227088
20,0.99429506,0.98574024,0.2334825,0.110145524
21,0.99265766,0.9780535,0.3258449,0.1307698
22,0.9925263,0.9802511,0.3593873,0.13240722
23,0.99253917,0.98032403,0.37148085,0.13207665
24,0.9928162,0.9800391,0.37890142,0.12967621
25,0.99255735,0.9800913,0.41460422,0.13271438
26,0.99282193,0.98010784,0.43021104,0.13145691
27,0.9928743,0.978318,0.44682276,0.13183899
28,0.9928616,0.9791753,0.46965322,0.13267961
29,0.9931373,0.9749701,0.48175076,0.13136305
30,0.992597,0.97658294,0.52614135,0.13504569
31,0.9922765,0.97915024,0.5588611,0.13583173
32,0.99169487,0.9807903,0.60431623,0.1383041
33,0.9919379,0.9802945,0.6814107,0.13600472
34,0.9903821,0.97878027,0.85865766,0.14806862
35,0.9884974,0.98629045,1.0454563,0.15815586
36,0.9888488,0.9856047,1.1415075,0.15565538
37,0.9879646,0.98431987,1.3415157,0.16188674
38,0.985493,0.9835388,1.6229733,0.17703901
39,0.97777456,0.9902704,17.846834,0.21196377
