layer,pair_id,emotion_persona_invariance_cosine,persona_emotion_invariance_cosine,interaction_norm,interaction_relative
0,sp1,0.99689245,0.99903184,0.019887935,0.078846134
1,sp1,0.9976514,0.99694395,0.019317092,0.06855268
2,sp1,0.953495,0.9942003,0.119668104,0.32251984
3,sp1,0.9563869,0.9933548,0.1266098,0.30825567
4,sp1,0.96144617,0.99383783,0.13025862,0.28674066
5,sp1,0.99806166,0.99684036,0.029609218,0.06228262
6,sp1,0.99756724,0.9971268,0.038853366,0.070642896
7,sp1,0.9969272,0.995563,0.049312815,0.078874454
8,sp1,0.9957921,0.99486804,0.062511496,0.09182028
9,sp1,0.9963128,0.99092823,0.06382777,0.08641117
10,sp1,0.99543005,0.9883856,0.08906875,0.09864698
11,sp1,0.9944308,0.98869336,0.11197812,0.10836369
12,sp1,0.9934983,0.986816,0.12444665,0.11740362
13,sp1,0.9921086,0.9841479,0.15113746,0.13209604
14,sp1,0.99064726,0.9817706,0.18470338,0.14311212
15,sp1,0.9922897,0.98507845,0.18128373,0.1288584
16,sp1,0.99283177,0.98610246,0.20394747,0.12521389
17,sp1,0.99221265,0.97812366,0.22173311,0.13117301
18,sp1,0.9925233,0.97922486,0.2461442,0.13055465
19,sp1,0.992001,0.9763824,0.2808932,0.13621892
20,sp1,0.9929379,0.9766888,0.27331293,0.12808841
21,sp1,0.9908364,0.96202135,0.38226038,0.15204982
22,sp1,0.99030894,0.96158636,0.43525234,0.15910098
23,sp1,0.990665,0.96103716,0.44492474,0.15701042
24,sp1,0.99101394,0.9592484,0.45484543,0.1545264
25,sp1,0.9904397,0.95727855,0.5033574,0.15990967
26,sp1,0.9909263,0.9553792,0.52217466,0.15840088
27,sp1,0.99101895,0.9517928,0.54175407,0.15861818
28,sp1,0.9907074,0.9492225,0.58046246,0.16282204
29,sp1,0.99131536,0.94480294,0.59096265,0.15993363
30,sp1,0.9909122,0.9494575,0.6366053,0.16220081
31,sp1,0.9907325,0.9537459,0.67424953,0.16290024
32,sp1,0.990496,0.9584821,0.7101817,0.16151841
33,sp1,0.9912177,0.95727843,0.7837894,0.15557408
34,sp1,0.988139,0.9627403,0.9980726,0.1700399
35,sp1,0.9855452,0.98087287,1.201991,0.17993963
36,sp1,0.98619044,0.98012674,1.3024366,0.1756825
37,sp1,0.98565924,0.9804418,1.4916261,0.17809314
38,sp1,0.98065495,0.9838634,1.8925152,0.20313275
39,sp1,0.97708684,0.9883206,18.338972,0.21454395
0,sp2,0.9972315,0.9992001,0.018795868,0.07441296
1,sp2,0.99756557,0.9976095,0.019776724,0.07007375
2,sp2,0.99863166,0.9959117,0.01845457,0.052400757
3,sp2,0.99891824,0.99533886,0.01830229,0.04652021
4,sp2,0.9991213,0.99459153,0.018392563,0.041949186
5,sp2,0.99888337,0.99707246,0.022521785,0.047270823
6,sp2,0.9985022,0.99431354,0.030300757,0.05473433
7,sp2,0.9983171,0.99245524,0.03646785,0.05802751
8,sp2,0.996838,0.9920584,0.05451023,0.07961808
9,sp2,0.9955336,0.99490696,0.06998258,0.09454284
10,sp2,0.99367034,0.9951384,0.10054317,0.112823136
11,sp2,0.9918982,0.9946757,0.12926307,0.12752165
12,sp2,0.9908265,0.9932472,0.14138544,0.13588753
13,sp2,0.98881036,0.9922193,0.16927797,0.15022515
14,sp2,0.98570836,0.98817396,0.21863818,0.17057028
15,sp2,0.986534,0.98930454,0.23257062,0.1654427
16,sp2,0.98876864,0.99110246,0.24721736,0.15165617
17,sp2,0.98846096,0.9886954,0.26014164,0.1541593
18,sp2,0.98814464,0.9906491,0.293611,0.156317
19,sp2,0.9877477,0.98989975,0.33029914,0.16110934
20,sp2,0.98883927,0.9907386,0.32169008,0.15183501
21,sp2,0.98658407,0.9851154,0.43244675,0.17372571
22,sp2,0.9863585,0.9860371,0.47666043,0.17619339
23,sp2,0.9866254,0.98630136,0.48973614,0.17465445
24,sp2,0.9873416,0.986414,0.49574798,0.17017566
25,sp2,0.9866195,0.98616827,0.5470302,0.17590323
26,sp2,0.98719245,0.9865585,0.5659697,0.17374207
27,sp2,0.9873415,0.9853863,0.58671397,0.17392136
28,sp2,0.98692787,0.9854664,0.63111615,0.1790202
29,sp2,0.98787344,0.9840873,0.63319093,0.17328694
30,sp2,0.98747015,0.98518,0.6764237,0.17459074
31,sp2,0.98613876,0.9860577,0.7432168,0.18147844
32,sp2,0.9854483,0.98734474,0.78520143,0.18102166
33,sp2,0.9852889,0.98710227,0.89696556,0.18045506
34,sp2,0.97655344,0.9825129,1.3060226,0.2270202
35,sp2,0.97308606,0.989101,1.5640653,0.23834316
36,sp2,0.97426647,0.98880535,1.6947674,0.23309909
37,sp2,0.97347105,0.98751456,1.9595178,0.23835172
38,sp2,0.96838284,0.9841246,2.3710392,0.25937203
39,sp2,0.9659459,0.9879832,22.146248,0.26166344
0,sp3,0.99790496,0.9989476,0.016331486,0.06472769
1,sp3,0.9980073,0.9965664,0.017849984,0.063354686
2,sp3,0.9580916,0.99306506,0.1135581,0.3066803
3,sp3,0.9613189,0.99184495,0.11891313,0.28993127
4,sp3,0.9658902,0.99327356,0.12187018,0.26931044
5,sp3,0.99799746,0.9959208,0.03034377,0.06399852
6,sp3,0.99803734,0.99352646,0.034262627,0.062661625
7,sp3,0.99812174,0.9938884,0.03815229,0.061309922
8,sp3,0.99697745,0.99219435,0.053066686,0.078055784
9,sp3,0.99602294,0.99401826,0.065926835,0.08952474
10,sp3,0.9958833,0.9919844,0.081105135,0.09079933
11,sp3,0.995622,0.98891306,0.09510996,0.09365076
12,sp3,0.9954787,0.9870968,0.09925082,0.095209144
13,sp3,0.99488753,0.9812976,0.11447252,0.10172498
14,sp3,0.9936595,0.98255134,0.14393707,0.113437034
15,sp3,0.99425817,0.9819768,0.14950283,0.10793919
16,sp3,0.9945808,0.98479897,0.1675945,0.10436128
17,sp3,0.99467045,0.9827696,0.17184696,0.10355416
18,sp3,0.9938524,0.98606557,0.20532903,0.110927485
19,sp3,0.9935888,0.98970693,0.22979374,0.11347087
20,sp3,0.9938476,0.98664176,0.23315392,0.1112416
21,sp3,0.99355197,0.987876,0.27984828,0.11394324
22,sp3,0.99329925,0.9893775,0.3105167,0.11609937
23,sp3,0.9931828,0.98946023,0.32433102,0.117031485
24,sp3,0.9933528,0.9891876,0.33269438,0.11556103
25,sp3,0.9931672,0.98980594,0.3609191,0.117324896
26,sp3,0.9933783,0.9899033,0.37213248,0.11555544
27,sp3,0.9935844,0.98924315,0.37947738,0.11387946
28,sp3,0.99368876,0.99005294,0.39221203,0.11283361
29,sp3,0.99418145,0.9872592,0.39124244,0.10871045
30,sp3,0.99344265,0.9871002,0.44181946,0.11539704
31,sp3,0.99247074,0.9871557,0.49830276,0.12291968
32,sp3,0.9913265,0.9884029,0.5676064,0.13175157
33,sp3,0.99115855,0.98744774,0.65782017,0.1329913
34,sp3,0.9839432,0.9775923,1.030931,0.17925785
35,sp3,0.9820584,0.9817787,1.2571942,0.18949889
36,sp3,0.98228,0.9816102,1.3864537,0.18837164
37,sp3,0.98047227,0.9821254,1.6429373,0.19767776
38,sp3,0.9659387,0.983365,2.4188702,0.261638
39,sp3,0.96210283,0.9875085,23.45472,0.27579278
0,sp4,0.997978,0.99913824,0.016049393,0.063591346
1,sp4,0.9980866,0.99656695,0.017609857,0.062191065
2,sp4,0.9986879,0.99605256,0.018139517,0.05130577
3,sp4,0.99887305,0.9957732,0.018752651,0.04759133
4,sp4,0.99900776,0.9951321,0.01956995,0.0445467
5,sp4,0.9986807,0.9957881,0.024492787,0.051425524
6,sp4,0.99815047,0.99125266,0.03376082,0.06096666
7,sp4,0.9974722,0.99076414,0.04470989,0.07110551
8,sp4,0.9969213,0.9898871,0.05376554,0.0786346
9,sp4,0.9968224,0.9943244,0.05932589,0.07984064
10,sp4,0.9956786,0.994126,0.08383877,0.093053676
11,sp4,0.9948946,0.99168116,0.10419394,0.10121988
12,sp4,0.9949444,0.9901299,0.10637561,0.100734666
13,sp4,0.9938236,0.9832097,0.12830183,0.111905895
14,sp4,0.9917532,0.97951365,0.16873829,0.12919085
15,sp4,0.9918783,0.9785172,0.1825134,0.12828724
16,sp4,0.9921777,0.97956634,0.20758164,0.1255239
17,sp4,0.9906389,0.972194,0.23586959,0.13780044
18,sp4,0.9880957,0.97476596,0.29678997,0.15487193
19,sp4,0.9881929,0.97604483,0.32468265,0.15471496
20,sp4,0.98836625,0.9733329,0.33336952,0.15338232
