question_id,intervention,measurement_layer,distance,delta_persona_projection,delta_emotion_projection
eval01,emotion,22,1,0.022196561098098755,0.07268749177455902
eval01,emotion,22,2,-0.002014443278312683,0.0024694204330444336
eval01,emotion,22,3,0.016643047332763672,0.021565735340118408
eval01,emotion,22,4,0.0012832880020141602,0.002862215042114258
eval01,emotion,22,5,-0.001261889934539795,-0.0013769268989562988
eval01,emotion,22,6,0.0009062290191650391,0.001893758773803711
eval01,emotion,22,7,-0.0003109574317932129,0.00035703182220458984
eval01,emotion,22,8,0.0019507408142089844,0.0027338266372680664
eval01,emotion,22,9,0.0006191730499267578,0.0013462305068969727
eval01,emotion,22,10,-0.006224244832992554,-0.009664177894592285
eval01,emotion,22,11,0.00042384862899780273,0.0014076828956604004
eval01,emotion,22,12,0.005567073822021484,0.007645994424819946
eval01,emotion,22,13,0.0067098140716552734,0.010226964950561523
eval01,emotion,22,14,0.004301846027374268,0.009747534990310669
eval01,emotion,22,15,0.0018601417541503906,0.0031431913375854492
eval01,emotion,22,16,0.003709077835083008,0.0018245577812194824
eval01,emotion,22,17,0.000833168625831604,-0.0010280907154083252
eval01,emotion,22,18,-0.003363996744155884,0.0025222599506378174
eval01,emotion,22,19,0.002154827117919922,0.004483044147491455
eval01,emotion,22,20,-0.0020586252212524414,0.0030465126037597656
eval01,emotion,39,1,1.1358585357666016,4.489692687988281
eval01,emotion,39,2,0.8263931274414062,0.237548828125
eval01,emotion,39,3,1.973785400390625,1.3270263671875
eval01,emotion,39,4,1.529754638671875,0.5826644897460938
eval01,emotion,39,5,0.11496829986572266,0.6730241775512695
eval01,emotion,39,6,-0.11269378662109375,0.63897705078125
eval01,emotion,39,7,-1.0774478912353516,1.415130615234375
eval01,emotion,39,8,-0.7473564147949219,0.24164962768554688
eval01,emotion,39,9,-0.0577850341796875,0.679229736328125
eval01,emotion,39,10,-0.07384777069091797,1.1903090476989746
eval01,emotion,39,11,-1.3089237213134766,1.3180999755859375
eval01,emotion,39,12,-1.147125244140625,0.7773141860961914
eval01,emotion,39,13,-0.3932838439941406,0.4530525207519531
eval01,emotion,39,14,-0.3821902275085449,1.2154922485351562
eval01,emotion,39,15,1.1870269775390625,2.3674468994140625
eval01,emotion,39,16,0.5293483734130859,0.3617706298828125
eval01,emotion,39,17,1.3288898468017578,1.3449382781982422
eval01,emotion,39,18,0.7047691345214844,-0.0242767333984375
eval01,emotion,39,19,0.344268798828125,-0.09880924224853516
eval01,emotion,39,20,-1.1355338096618652,0.2259368896484375
eval01,persona,22,1,0.07397475838661194,0.026858970522880554
eval01,persona,22,2,-0.0010114312171936035,0.00045239925384521484
eval01,persona,22,3,0.037122488021850586,0.008310556411743164
eval01,persona,22,4,0.009598255157470703,-0.003430604934692383
eval01,persona,22,5,-0.00044989585876464844,-0.0015929937362670898
eval01,persona,22,6,0.0013384819030761719,0.0005044937133789062
eval01,persona,22,7,0.0035573840141296387,0.0018333196640014648
eval01,persona,22,8,0.005548298358917236,-0.0004347562789916992
eval01,persona,22,9,-0.000846564769744873,0.0006612539291381836
eval01,persona,22,10,-0.004214107990264893,-0.001806497573852539
eval01,persona,22,11,0.001336216926574707,0.0007071495056152344
eval01,persona,22,12,0.01699894666671753,-0.0015276074409484863
eval01,persona,22,13,0.01446676254272461,0.008082330226898193
eval01,persona,22,14,0.014100432395935059,0.007313817739486694
eval01,persona,22,15,0.00809788703918457,0.0008369684219360352
eval01,persona,22,16,0.013241410255432129,0.0075851380825042725
eval01,persona,22,17,-0.0010911375284194946,0.0013331174850463867
eval01,persona,22,18,0.007543891668319702,0.0022465884685516357
eval01,persona,22,19,0.005188941955566406,0.002077817916870117
eval01,persona,22,20,0.0032529830932617188,-0.0017458200454711914
eval01,persona,39,1,1.9894905090332031,1.2526493072509766
eval01,persona,39,2,0.6087989807128906,0.5034160614013672
eval01,persona,39,3,4.2680206298828125,0.24204635620117188
eval01,persona,39,4,2.311473846435547,-0.3704109191894531
eval01,persona,39,5,-0.45694684982299805,0.7879667282104492
eval01,persona,39,6,1.599623680114746,-0.450164794921875
eval01,persona,39,7,0.8634567260742188,0.9771499633789062
eval01,persona,39,8,0.584991455078125,-0.19936370849609375
eval01,persona,39,9,1.1146411895751953,-0.00600433349609375
eval01,persona,39,10,0.4470243453979492,0.2995433807373047
eval01,persona,39,11,1.2669601440429688,-0.05944061279296875
eval01,persona,39,12,1.4603958129882812,0.2696189880371094
eval01,persona,39,13,0.6014423370361328,-0.584686279296875
eval01,persona,39,14,0.4099612236022949,0.5864715576171875
eval01,persona,39,15,1.5552749633789062,0.25870513916015625
eval01,persona,39,16,-0.16616249084472656,-0.2625885009765625
eval01,persona,39,17,-0.036960601806640625,-0.7383298873901367
eval01,persona,39,18,1.7826499938964844,0.21523475646972656
eval01,persona,39,19,0.09347152709960938,-0.10509967803955078
eval01,persona,39,20,-0.030416011810302734,-0.24286270141601562
eval02,emotion,22,1,-0.010600507259368896,-0.009422838687896729
eval02,emotion,22,2,0.0073310136795043945,0.02528473734855652
eval02,emotion,22,3,0.005408883094787598,0.011816322803497314
eval02,emotion,22,4,0.0015538930892944336,0.0060272216796875
eval02,emotion,22,5,0.00018519163131713867,0.0024565458297729492
eval02,emotion,22,6,-0.006049096584320068,-0.0019663572311401367
eval02,emotion,22,7,0.0002040863037109375,0.0038069486618041992
eval02,emotion,22,8,-0.0020685195922851562,0.001344919204711914
eval02,emotion,22,9,-0.0011031627655029297,0.0011854171752929688
eval02,emotion,22,10,0.0006237030029296875,-0.0018652677536010742
eval02,emotion,22,11,0.0035799741744995117,0.0013577938079833984
eval02,emotion,22,12,-0.0020333528518676758,-0.0001996755599975586
eval02,emotion,22,13,-0.00016248226165771484,0.000971674919128418
eval02,emotion,22,14,0.004168391227722168,0.002767801284790039
eval02,emotion,22,15,-0.0016226768493652344,-0.00013065338134765625
eval02,emotion,22,16,0.0030287504196166992,0.0025670528411865234
eval02,emotion,22,17,0.00015717744827270508,0.00026535987854003906
eval02,emotion,22,18,0.0027401745319366455,0.0006827712059020996
eval02,emotion,22,19,-0.0002529025077819824,2.300739288330078e-05
