intervention,measurement_layer,distance,mean_delta_persona_projection,mean_delta_emotion_projection,n_questions
emotion,22,1,0.023568624258041383,0.063053547590971,20
emotion,22,2,0.010780387371778489,0.03147894963622093,20
emotion,22,3,0.0028749167919158935,0.011180898547172547,20
emotion,22,4,0.002386486530303955,0.007135799527168274,20
emotion,22,5,-0.0010863587260246277,0.0032642442733049394,20
emotion,22,6,0.0011502832174301147,0.007395122945308685,20
emotion,22,7,0.001609651744365692,0.006220695376396179,20
emotion,22,8,0.0010892271995544434,0.003879254311323166,20
emotion,22,9,0.0005837306380271912,0.0025194980204105376,20
emotion,22,10,-0.0001610010862350464,0.0018320642411708832,20
emotion,22,11,-0.0005777470767498016,0.0012604102492332458,20
emotion,22,12,-0.0007974572479724884,0.0014700263738632203,20
emotion,22,13,0.0008697733283042908,0.003810063749551773,20
emotion,22,14,0.0006562784314155578,0.003343455493450165,20
emotion,22,15,0.000804823637008667,0.0035417169332504273,20
emotion,22,16,0.0009666409343481064,0.002111625298857689,20
emotion,22,17,-0.0004879847168922424,0.0015315160155296326,20
emotion,22,18,0.0002050735056400299,0.000971059501171112,20
emotion,22,19,7.908791303634644e-05,0.0013090819120407104,20
emotion,22,20,-0.0003664135932922363,0.0013162970542907714,20
emotion,39,1,2.258758211135864,4.018417310714722,20
emotion,39,2,1.8232518196105958,2.952677536010742,20
emotion,39,3,0.8903934895992279,1.8180940866470336,20
emotion,39,4,0.3646240711212158,1.442354941368103,20
emotion,39,5,0.49561142921447754,0.5884972095489502,20
emotion,39,6,0.6102089405059814,0.7488821029663086,20
emotion,39,7,0.28361358642578127,0.5411864757537842,20
emotion,39,8,0.2622574806213379,0.8118517637252808,20
emotion,39,9,0.20748910903930665,0.4766679286956787,20
emotion,39,10,0.1498178482055664,0.1442361831665039,20
emotion,39,11,0.031373023986816406,0.3009317398071289,20
emotion,39,12,-0.03168201446533203,0.133273708820343,20
emotion,39,13,0.39039082527160646,0.6773837566375732,20
emotion,39,14,0.30512874126434325,0.27324349880218507,20
emotion,39,15,0.2307919979095459,0.29282221794128416,20
emotion,39,16,0.07584681510925292,0.4423561096191406,20
emotion,39,17,0.0010925769805908204,0.12354912757873535,20
emotion,39,18,-0.023544418811798095,0.3130430459976196,20
emotion,39,19,0.07928524017333985,0.43667826652526853,20
emotion,39,20,-0.00787944793701172,0.3879782915115356,20
persona,22,1,0.08631499782204628,0.022607157379388808,20
persona,22,2,0.05044490993022919,0.011459333449602127,20
persona,22,3,0.02365810573101044,0.0023986965417861937,20
persona,22,4,0.01383253037929535,0.0013376384973526,20
persona,22,5,0.008623155951499938,0.0010760311037302018,20
persona,22,6,0.014438828825950623,0.003134354203939438,20
persona,22,7,0.01332688108086586,0.0033146515488624573,20
persona,22,8,0.009000003337860107,0.002468537539243698,20
persona,22,9,0.005298440158367157,0.0009432494640350342,20
persona,22,10,0.004317617416381836,0.0009846702218055726,20
persona,22,11,0.003270749747753143,0.0006305545568466187,20
persona,22,12,0.007664250582456589,0.0010808050632476808,20
persona,22,13,0.009118577837944031,0.0009569644927978516,20
persona,22,14,0.007124003022909164,0.0015245329588651658,20
persona,22,15,0.009005430340766906,0.002008971571922302,20
persona,22,16,0.004118514433503151,0.0008645989000797272,20
persona,22,17,0.00391453430056572,0.0005665719509124756,20
persona,22,18,0.0037169750779867173,-9.549185633659363e-05,20
persona,22,19,0.004049146175384521,-0.0005202382802963257,20
persona,22,20,0.00463712140917778,0.00026139765977859495,20
persona,39,1,7.915389776229858,0.8442790746688843,20
persona,39,2,6.201474571228028,1.4620173931121827,20
persona,39,3,3.902719020843506,0.402256441116333,20
persona,39,4,2.133031940460205,0.4151515007019043,20
persona,39,5,1.661293053627014,-0.19761617183685304,20
persona,39,6,2.6763436555862428,0.26033730506896974,20
persona,39,7,1.8253287315368651,0.20830702781677246,20
persona,39,8,1.8412395000457764,0.3758858680725098,20
persona,39,9,1.1253813743591308,0.3043463706970215,20
persona,39,10,0.8366034984588623,-0.05719776153564453,20
persona,39,11,0.9993119955062866,0.057706809043884276,20
persona,39,12,1.1535033941268922,0.01073838472366333,20
persona,39,13,1.4071489691734314,0.1585371971130371,20
persona,39,14,0.7705631971359252,0.19333395957946778,20
persona,39,15,0.8897391796112061,0.11115398406982421,20
persona,39,16,0.4895669937133789,-0.09235756397247315,20
persona,39,17,0.6915086507797241,-0.3147108554840088,20
persona,39,18,0.8169461846351623,0.29039013385772705,20
persona,39,19,0.5803676605224609,0.13976383209228516,20
persona,39,20,0.3984004735946655,0.23925834894180298,20
