layer,mean_pairwise_cosine,min_pairwise_cosine,valid_prompt_pairs
0,0.7021812796592712,0.6098165512084961,5
1,0.7333069443702698,0.6721699237823486,5
2,0.7200943231582642,0.6099770069122314,5
3,0.7491503953933716,0.6428360939025879,5
4,0.7682198882102966,0.6423007249832153,5
5,0.7775623202323914,0.6496368646621704,5
6,0.7715848088264465,0.6418610215187073,5
7,0.7686282396316528,0.6483209133148193,5
8,0.7738943696022034,0.6670941114425659,5
9,0.8111728429794312,0.7263799905776978,5
10,0.8148714900016785,0.7373185157775879,5
11,0.8061473965644836,0.7258691787719727,5
12,0.8103765249252319,0.7187221050262451,5
13,0.7801582217216492,0.6975194215774536,5
14,0.771532416343689,0.6748460531234741,5
15,0.7812488079071045,0.6786189079284668,5
16,0.7924355864524841,0.6999382376670837,5
17,0.8145074844360352,0.730619490146637,5
18,0.8345673680305481,0.7671751379966736,5
19,0.842121422290802,0.7788277864456177,5
20,0.8416129350662231,0.776747465133667,5
21,0.8536931872367859,0.7886461615562439,5
22,0.8512737154960632,0.7677471041679382,5
23,0.8464082479476929,0.7514890432357788,5
24,0.8447631001472473,0.7476068735122681,5
25,0.844671368598938,0.734128475189209,5
26,0.8409708142280579,0.7268394231796265,5
27,0.8392807841300964,0.7269968390464783,5
28,0.8291032910346985,0.6987167596817017,5
29,0.8308898210525513,0.7205088138580322,5
30,0.8370688557624817,0.7299507260322571,5
31,0.8286830186843872,0.7195807695388794,5
32,0.8277748823165894,0.6968015432357788,5
33,0.8242723345756531,0.7026443481445312,5
34,0.7936292886734009,0.6517943143844604,5
35,0.7842802405357361,0.6592490673065186,5
36,0.7816211581230164,0.6538217067718506,5
37,0.803194522857666,0.7002333402633667,5
38,0.7692198753356934,0.6537408828735352,5
39,0.7818366289138794,0.6465094685554504,5
