condition,layer,mean_delta_sycophancy_projection,sycophancy_ci_low,sycophancy_ci_high,mean_delta_emotion_projection,emotion_ci_low,emotion_ci_high
emotion_orthogonal,20,0.10368071794509888,0.07594616085290909,0.13058821827173234,10.146234419941901,10.089323153570295,10.206718092262745
emotion_orthogonal,21,0.038245320320129395,-0.007304059863090515,0.08415396213531488,10.032579365372658,9.92264534085989,10.148134515210986
emotion_orthogonal,22,0.08071918487548828,0.016983762383461,0.13987462520599364,10.082101398706437,9.935954642146827,10.235167048722504
emotion_orthogonal,23,0.42989126443862913,0.3592942437529564,0.5026744973659515,10.247665190696717,10.081317244768142,10.40847156882286
emotion_orthogonal,24,0.43030595779418945,0.3356907173991203,0.5269924822449684,10.609527516365052,10.412941992282867,10.808374277949333
emotion_orthogonal,25,0.5747102499008179,0.45552816867828366,0.6858139491081237,10.735543203353881,10.488293058872223,10.993287603855133
emotion_orthogonal,26,0.5305609464645386,0.37174472749233245,0.6895390200614927,11.602372980117797,11.274822721481325,11.92582619547844
emotion_orthogonal,27,1.388813668489456,1.1253856785595417,1.6669777208566665,11.954527664184571,11.609432023763658,12.292446278929711
emotion_orthogonal_matched,20,0.1118161916732788,0.08143864989280701,0.1401590836048126,10.544396069645881,10.484815045818687,10.608090895190836
emotion_orthogonal_matched,21,0.044058728218078616,-0.00574450135231018,0.09437135040760035,10.424082699418069,10.310123431757091,10.541822687089443
emotion_orthogonal_matched,22,0.08784794807434082,0.02169913113117218,0.14969109058380126,10.476369839906692,10.319491670727729,10.638096161782741
emotion_orthogonal_matched,23,0.44964847564697263,0.3703830373287201,0.5230359655618667,10.649524068832397,10.485125870108604,10.832446085512638
emotion_orthogonal_matched,24,0.448908531665802,0.3468948283791542,0.5494756194949151,11.025863528251648,10.823264935016631,11.235247290730475
emotion_orthogonal_matched,25,0.5971808671951294,0.4792126792669297,0.7155283004045485,11.157985496520997,10.894808171391487,11.425638036727905
emotion_orthogonal_matched,26,0.546213698387146,0.38219141244888305,0.7135531002283095,12.066033983230591,11.727151762247086,12.395643119812013
emotion_orthogonal_matched,27,1.4259727358818055,1.1304082942008973,1.7242940700054168,12.421481156349182,12.057794680595398,12.771115767955779
emotion_positive,20,3.3496509194374084,3.3030526253581045,3.395463984310627,11.080338647961616,11.008091544806957,11.16099453225732
emotion_positive,21,3.528777074813843,3.4435851019620896,3.611185358166695,10.980167308449746,10.842949492558837,11.12790243834257
emotion_positive,22,3.704849421977997,3.570433541238308,3.8384613358974455,11.022985392808915,10.850150839984417,11.207871153950691
emotion_positive,23,4.463927972316742,4.328920170962811,4.600083063840866,11.36253547668457,11.161072892546654,11.579747233092785
emotion_positive,24,4.778519308567047,4.607021096944808,4.941817935705185,11.762123799324035,11.515427132844925,12.017951679825783
emotion_positive,25,5.3605022668838505,5.127967713475227,5.577193197607994,12.0443856716156,11.730151931643487,12.378314782977105
emotion_positive,26,5.576713347434998,5.282739627957343,5.874194670319557,12.938493680953979,12.53474482178688,13.355625684261321
emotion_positive,27,8.27436934709549,7.833611387014389,8.732593080699443,14.847588157653808,14.374931102991104,15.322960296869278
random_control,20,0.3209861874580383,0.30180455684661867,0.3409429401159286,0.04631665050983429,0.0211914049834013,0.07209148585796354
random_control,21,0.446377158164978,0.4113997972011566,0.4822359025478363,0.08156543523073197,0.04904940143227577,0.11269991274923084
random_control,22,0.3386497974395752,0.30700892537832264,0.36924011379480365,0.09194027185440064,0.05203462287783623,0.12878400489687916
random_control,23,0.5964748501777649,0.5569634541869164,0.6364984774589538,-0.01526799201965332,-0.057401456236839295,0.023517261743545514
random_control,24,0.5911074757575989,0.5371697348356247,0.6425884360074997,-0.007802015542984009,-0.05107815340161324,0.03407598331570624
random_control,25,0.688761854171753,0.6341579240560532,0.7440909045934677,0.0581108570098877,0.004064179062843324,0.10737307667732238
random_control,26,0.6518858909606934,0.5783267092704772,0.7238729000091552,0.05974235534667969,0.0060242581367492675,0.10938371896743772
random_control,27,0.6735345900058747,0.4826230807602406,0.8968269447982306,0.4770716667175293,0.4029069095849991,0.5512319076061248
