emotion,condition,layer,overlap_cosine,parallel_fraction,mean_delta_sycophancy_projection,mean_delta_emotion_projection
empathetic,full,20,0.12643233,0.01598514,1.8941880881786346,13.360602235794067
empathetic,full,21,0.12643233,0.01598514,2.253558021783829,13.217927026748658
empathetic,full,22,0.12643233,0.01598514,2.1106119036674498,13.275589847564698
empathetic,full,23,0.12643233,0.01598514,2.2232007503509523,13.382881832122802
empathetic,full,24,0.12643233,0.01598514,2.4905643582344057,14.037315082550048
empathetic,full,25,0.12643233,0.01598514,2.6853967666625977,14.443981456756593
empathetic,full,26,0.12643233,0.01598514,2.6325276106595994,14.774808931350709
empathetic,full,27,0.12643233,0.01598514,3.7746510207653046,14.595174169540405
empathetic,orthogonal_matched,20,0.12643233,0.01598514,0.09696021676063538,13.182241916656494
empathetic,orthogonal_matched,21,0.12643233,0.01598514,0.3208038486540318,12.97395396232605
empathetic,orthogonal_matched,22,0.12643233,0.01598514,0.11319826245307922,13.045603466033935
empathetic,orthogonal_matched,23,0.12643233,0.01598514,0.009036475047469138,13.137758922576904
empathetic,orthogonal_matched,24,0.12643233,0.01598514,0.10303759649395942,13.787849569320679
empathetic,orthogonal_matched,25,0.12643233,0.01598514,0.06439517103135586,14.144006395339966
empathetic,orthogonal_matched,26,0.12643233,0.01598514,-0.11130371615290642,14.486952590942384
empathetic,orthogonal_matched,27,0.12643233,0.01598514,0.1769214689731598,14.23627429008484
exuberant,full,20,0.11942009,0.0142611535,1.2869196712970734,8.9902512550354
exuberant,full,21,0.11942009,0.0142611535,1.3297916769981384,8.649891567230224
exuberant,full,22,0.11942009,0.0142611535,1.453058558702469,8.596669816970826
exuberant,full,23,0.11942009,0.0142611535,1.7977813839912415,8.458790016174316
exuberant,full,24,0.11942009,0.0142611535,2.0340616703033447,8.721876049041748
exuberant,full,25,0.11942009,0.0142611535,2.149112182855606,9.040512466430664
exuberant,full,26,0.11942009,0.0142611535,2.3022551417350767,9.404205942153931
exuberant,full,27,0.11942009,0.0142611535,4.1146557331085205,9.933997702598571
exuberant,orthogonal_matched,20,0.11942009,0.0142611535,0.1362305298447609,8.876842403411866
exuberant,orthogonal_matched,21,0.11942009,0.0142611535,0.09737871438264847,8.566322708129883
exuberant,orthogonal_matched,22,0.11942009,0.0142611535,0.1747083142399788,8.51103253364563
exuberant,orthogonal_matched,23,0.11942009,0.0142611535,0.36579981446266174,8.35640230178833
exuberant,orthogonal_matched,24,0.11942009,0.0142611535,0.4815728522837162,8.587514853477478
exuberant,orthogonal_matched,25,0.11942009,0.0142611535,0.4431036256253719,8.901874327659607
exuberant,orthogonal_matched,26,0.11942009,0.0142611535,0.5191877588629723,9.24251093864441
exuberant,orthogonal_matched,27,0.11942009,0.0142611535,1.7557490020990372,9.452120518684387
invigorated,full,20,0.066180095,0.004379803,0.818267571926117,9.933722305297852
invigorated,full,21,0.066180095,0.004379803,1.0250698179006577,9.7374032497406
invigorated,full,22,0.066180095,0.004379803,0.9857841730117798,9.839273166656493
invigorated,full,23,0.066180095,0.004379803,1.021677029132843,10.001561164855957
invigorated,full,24,0.066180095,0.004379803,0.8690791234374047,10.506845664978027
invigorated,full,25,0.066180095,0.004379803,0.9153031036257744,11.073272562026977
invigorated,full,26,0.066180095,0.004379803,1.0981031000614165,11.802503633499146
invigorated,full,27,0.066180095,0.004379803,4.100694835186005,13.141308498382568
invigorated,orthogonal_matched,20,0.066180095,0.004379803,0.13212638050317765,9.888093376159668
invigorated,orthogonal_matched,21,0.066180095,0.004379803,0.2934470072388649,9.683368921279907
invigorated,orthogonal_matched,22,0.066180095,0.004379803,0.2281046539545059,9.787557935714721
invigorated,orthogonal_matched,23,0.066180095,0.004379803,0.17391011416912078,9.940052223205566
invigorated,orthogonal_matched,24,0.066180095,0.004379803,-0.050464995205402374,10.449599361419677
invigorated,orthogonal_matched,25,0.066180095,0.004379803,-0.09601536840200424,11.007638120651245
invigorated,orthogonal_matched,26,0.066180095,0.004379803,0.04673427790403366,11.721791076660157
invigorated,orthogonal_matched,27,0.066180095,0.004379803,2.735271543264389,12.851159811019897
cheerful,full,20,0.23808473,0.056684315,2.8883101463317873,10.628583097457886
cheerful,full,21,0.23808473,0.056684315,3.032839095592499,10.207145547866821
cheerful,full,22,0.23808473,0.056684315,3.2044370770454407,10.223030185699463
cheerful,full,23,0.23808473,0.056684315,3.6905065059661863,10.36138563156128
cheerful,full,24,0.23808473,0.056684315,4.068195033073425,10.536805200576783
cheerful,full,25,0.23808473,0.056684315,4.2968070149421695,10.760452938079833
cheerful,full,26,0.23808473,0.056684315,4.332455360889435,11.522201871871948
cheerful,full,27,0.23808473,0.056684315,6.093768155574798,13.715552377700806
cheerful,orthogonal_matched,20,0.23808473,0.056684315,0.19482259452342987,10.194308614730835
cheerful,orthogonal_matched,21,0.23808473,0.056684315,0.1375763386487961,9.758762168884278
cheerful,orthogonal_matched,22,0.23808473,0.056684315,0.2006309822201729,9.819304943084717
cheerful,orthogonal_matched,23,0.23808473,0.056684315,0.3611470654606819,9.864610147476196
cheerful,orthogonal_matched,24,0.23808473,0.056684315,0.46854332387447356,9.99618582725525
cheerful,orthogonal_matched,25,0.23808473,0.056684315,0.33281087726354597,10.190928602218628
cheerful,orthogonal_matched,26,0.23808473,0.056684315,0.15673640221357346,10.967176675796509
cheerful,orthogonal_matched,27,0.23808473,0.056684315,0.4962369441986084,12.407563257217408
joyful,full,20,0.033130758,0.0010976482,1.614286631345749,20.27663097381592
joyful,full,21,0.033130758,0.0010976482,1.3135060310363769,17.983697605133056
joyful,full,22,0.033130758,0.0010976482,2.023625189065933,16.066629886627197
joyful,full,23,0.033130758,0.0010976482,2.569504809379578,15.67894721031189
joyful,full,24,0.033130758,0.0010976482,3.0118236899375916,16.171499300003052
joyful,full,25,0.033130758,0.0010976482,3.4030075907707213,16.134055423736573
joyful,full,26,0.033130758,0.0010976482,4.525227892398834,16.21091232299805
joyful,full,27,0.033130758,0.0010976482,9.63790340423584,20.869429874420167
joyful,orthogonal_matched,20,0.033130758,0.0010976482,0.8726961374282837,20.18886318206787
joyful,orthogonal_matched,21,0.033130758,0.0010976482,0.5204670459032059,17.909101676940917
joyful,orthogonal_matched,22,0.033130758,0.0010976482,1.195452630519867,15.97847146987915
joyful,orthogonal_matched,23,0.033130758,0.0010976482,1.6282272219657898,15.576632118225097
joyful,orthogonal_matched,24,0.033130758,0.0010976482,1.9862529516220093,16.036998510360718
joyful,orthogonal_matched,25,0.033130758,0.0010976482,2.2631298184394835,15.995683526992797
joyful,orthogonal_matched,26,0.033130758,0.0010976482,3.303457075357437,16.04754419326782
joyful,orthogonal_matched,27,0.033130758,0.0010976482,7.864765167236328,20.14821252822876
happy,full,20,0.04642079,0.002154891,1.403799831867218,15.328585863113403
happy,full,21,0.04642079,0.002154891,1.3497430026531219,13.526356267929078
happy,full,22,0.04642079,0.002154891,2.0834627985954284,12.267009067535401
happy,full,23,0.04642079,0.002154891,2.528562533855438,11.951711797714234
happy,full,24,0.04642079,0.002154891,2.8478092670440676,12.435375308990478
happy,full,25,0.04642079,0.002154891,3.0721075773239135,12.504334592819214
happy,full,26,0.04642079,0.002154891,4.465449464321137,13.147003698349
happy,full,27,0.04642079,0.002154891,11.780927801132203,17.76454014778137
happy,orthogonal_matched,20,0.04642079,0.002154891,0.5915551081299781,15.269163131713867
happy,orthogonal_matched,21,0.04642079,0.002154891,0.4778094246983528,13.471856689453125
happy,orthogonal_matched,22,0.04642079,0.002154891,1.1779655039310455,12.188586282730103
happy,orthogonal_matched,23,0.04642079,0.002154891,1.5165396630764008,11.83169322013855
happy,orthogonal_matched,24,0.04642079,0.002154891,1.7610034704208375,12.268868923187256
happy,orthogonal_matched,25,0.04642079,0.002154891,1.8693326741456986,12.318053913116454
happy,orthogonal_matched,26,0.04642079,0.002154891,3.1902679920196535,12.898037672042847
happy,orthogonal_matched,27,0.04642079,0.002154891,9.972673583030701,16.926505279541015
optimistic,full,20,0.06726612,0.004524728,1.6556799769401551,17.81099796295166
optimistic,full,21,0.06726612,0.004524728,1.5546172320842744,15.992098999023437
optimistic,full,22,0.06726612,0.004524728,2.3798781871795653,14.7860764503479
optimistic,full,23,0.06726612,0.004524728,3.029433345794678,14.723285007476807
optimistic,full,24,0.06726612,0.004524728,3.3874372124671934,15.377306795120239
optimistic,full,25,0.06726612,0.004524728,3.407699429988861,15.531168031692506
optimistic,full,26,0.06726612,0.004524728,4.098783111572265,16.117037296295166
optimistic,full,27,0.06726612,0.004524728,6.220337235927582,17.051272344589233
optimistic,orthogonal_matched,20,0.06726612,0.004524728,0.35574487745761874,17.695598888397218
optimistic,orthogonal_matched,21,0.06726612,0.004524728,0.15615421310067176,15.864465761184693
optimistic,orthogonal_matched,22,0.06726612,0.004524728,0.9342776030302048,14.597820472717284
optimistic,orthogonal_matched,23,0.06726612,0.004524728,1.395386192202568,14.456980657577514
optimistic,orthogonal_matched,24,0.06726612,0.004524728,1.611560159921646,15.048198461532593
optimistic,orthogonal_matched,25,0.06726612,0.004524728,1.4490483373403549,15.178704261779785
optimistic,orthogonal_matched,26,0.06726612,0.004524728,2.023378241062164,15.745313119888305
optimistic,orthogonal_matched,27,0.06726612,0.004524728,3.399319040775299,16.198205041885377
delighted,full,20,0.2034908,0.04140848,4.180374872684479,15.578087520599365
delighted,full,21,0.2034908,0.04140848,4.646379733085633,14.853691148757935
delighted,full,22,0.2034908,0.04140848,4.691324925422668,14.8787926197052
delighted,full,23,0.2034908,0.04140848,5.624102854728699,15.114015102386475
delighted,full,24,0.2034908,0.04140848,5.997572994232177,15.905090856552125
delighted,full,25,0.2034908,0.04140848,6.870158004760742,16.40278630256653
delighted,full,26,0.2034908,0.04140848,7.263052964210511,17.392367792129516
delighted,full,27,0.2034908,0.04140848,12.384256172180176,19.644746780395508
delighted,orthogonal_matched,20,0.2034908,0.04140848,0.8102217048406601,15.030018281936645
delighted,orthogonal_matched,21,0.2034908,0.04140848,1.023857417702675,14.204007387161255
delighted,orthogonal_matched,22,0.2034908,0.04140848,0.9583104610443115,14.23773546218872
delighted,orthogonal_matched,23,0.2034908,0.04140848,1.4912757277488708,14.259209775924683
delighted,orthogonal_matched,24,0.2034908,0.04140848,1.545338985323906,14.982955503463746
delighted,orthogonal_matched,25,0.2034908,0.04140848,1.987452858686447,15.37645001411438
delighted,orthogonal_matched,26,0.2034908,0.04140848,2.146163064241409,16.369510984420778
delighted,orthogonal_matched,27,0.2034908,0.04140848,5.57810788154602,17.313715505599976
thankful,full,20,-0.029749379,0.00088502554,-0.270966674387455,13.740164279937744
thankful,full,21,-0.029749379,0.00088502554,-0.4857030726969242,12.815677547454834
thankful,full,22,-0.029749379,0.00088502554,-0.23888184316456318,12.289040756225585
thankful,full,23,-0.029749379,0.00088502554,-0.33652408346533774,12.157610654830933
thankful,full,24,-0.029749379,0.00088502554,0.021444792672991753,12.790502643585205
thankful,full,25,-0.029749379,0.00088502554,-0.16463485918939114,12.828435754776
thankful,full,26,-0.029749379,0.00088502554,0.23609198182821273,13.068577909469605
thankful,full,27,-0.029749379,0.00088502554,-1.409400260448456,14.142284870147705
thankful,orthogonal_matched,20,-0.029749379,0.00088502554,0.15909531861543655,13.748517560958863
thankful,orthogonal_matched,21,-0.029749379,0.00088502554,-0.024059314280748367,12.816724061965942
thankful,orthogonal_matched,22,-0.029749379,0.00088502554,0.23821529150009155,12.295730352401733
thankful,orthogonal_matched,23,-0.029749379,0.00088502554,0.19768223986029626,12.159950971603394
thankful,orthogonal_matched,24,-0.029749379,0.00088502554,0.6013825260102749,12.801498174667358
thankful,orthogonal_matched,25,-0.029749379,0.00088502554,0.4716116517782211,12.84226098060608
thankful,orthogonal_matched,26,-0.029749379,0.00088502554,0.9048156149685382,13.084114027023315
thankful,orthogonal_matched,27,-0.029749379,0.00088502554,-0.5161406330764293,13.998539972305299
inspired,full,20,0.18660511,0.034821477,2.4078423380851746,12.78349952697754
inspired,full,21,0.18660511,0.034821477,2.616142380237579,12.799162340164184
inspired,full,22,0.18660511,0.034821477,2.674024832248688,12.740837097167969
inspired,full,23,0.18660511,0.034821477,2.79739271402359,12.87044186592102
inspired,full,24,0.18660511,0.034821477,3.187733566761017,13.583103036880493
inspired,full,25,0.18660511,0.034821477,3.5598565220832823,14.094945287704467
inspired,full,26,0.18660511,0.034821477,3.826585614681244,14.89278712272644
inspired,full,27,0.18660511,0.034821477,8.683537983894348,16.95577278137207
inspired,orthogonal_matched,20,0.18660511,0.034821477,-0.1646297439932823,12.505791664123535
inspired,orthogonal_matched,21,0.18660511,0.034821477,-0.15255708992481232,12.488779211044312
inspired,orthogonal_matched,22,0.18660511,0.034821477,-0.1929285854101181,12.434013652801514
inspired,orthogonal_matched,23,0.18660511,0.034821477,-0.3805251091718674,12.514888906478882
inspired,orthogonal_matched,24,0.18660511,0.034821477,-0.24915369004011154,13.208273887634277
inspired,orthogonal_matched,25,0.18660511,0.034821477,-0.21362699419260026,13.623121070861817
inspired,orthogonal_matched,26,0.18660511,0.034821477,-0.12927280068397523,14.348968172073365
inspired,orthogonal_matched,27,0.18660511,0.034821477,3.3513493299484254,14.54060959815979
afraid,full,20,0.010147585,0.000102973594,0.054387938044965264,8.707834243774414
afraid,full,21,0.010147585,0.000102973594,0.05340304477140308,8.414603805541992
afraid,full,22,0.010147585,0.000102973594,-0.007849649339914323,8.243988537788391
afraid,full,23,0.010147585,0.000102973594,5.7337060570716855e-05,8.180038452148438
afraid,full,24,0.010147585,0.000102973594,0.1250993235036731,8.502356171607971
