layer,emotion_persona_invariance_cosine,persona_emotion_invariance_cosine,interaction_norm,interaction_relative
0,0.99887574,0.99720365,0.019032339,0.047742028
1,0.9988855,0.9970524,0.026341781,0.04748615
2,0.9981712,0.99819887,0.044630494,0.060713686
3,0.99875504,0.9975891,0.0514773,0.050033692
4,0.99904263,0.9969775,0.060486935,0.044013377
5,0.99918413,0.9950816,0.059736807,0.040489204
6,0.999397,0.99295664,0.063310035,0.034892973
7,0.99955964,0.9917599,0.07716934,0.029876279
8,0.99937886,0.9892048,0.112942286,0.035305366
9,0.9991148,0.9839413,0.16069494,0.0424808
10,0.99877447,0.9836378,0.21641971,0.050699864
11,0.9987962,0.9826788,0.22109094,0.04989859
12,0.99859214,0.98178035,0.25394884,0.05425792
13,0.9982504,0.9790659,0.32067573,0.060972318
14,0.99806714,0.9768568,0.36638576,0.065343745
15,0.9969567,0.9793363,0.47837782,0.08059325
16,0.9967584,0.97819376,0.50393265,0.08332178
17,0.99609315,0.97379327,0.5723956,0.091212384
18,0.99392295,0.9702582,0.8414545,0.11586585
19,0.9934832,0.97869414,1.149701,0.12167778
20,0.9927947,0.97425514,1.4963485,0.12765278
21,0.9927472,0.9708281,1.8288429,0.12778857
22,0.99273527,0.9687349,2.2655838,0.1290534
23,0.9929461,0.9700936,2.6763642,0.1281281
24,0.99316245,0.9695863,3.1418,0.12675646
25,0.9932189,0.9686462,3.6394126,0.12573187
26,0.9927082,0.9673325,4.3798404,0.12912591
27,0.9925958,0.9793074,4.988372,0.13672738
