question_id,intervention,measurement_layer,distance,delta_persona_projection,delta_emotion_projection
eval01,emotion,20,1,-0.016986370086669922,0.07749056816101074
eval01,emotion,20,2,-0.015134096145629883,-0.006414651870727539
eval01,emotion,20,3,0.006377696990966797,0.004102587699890137
eval01,emotion,20,4,-0.014102935791015625,0.0014019012451171875
eval01,emotion,20,5,0.016582965850830078,0.029061317443847656
eval01,emotion,20,6,0.0027523040771484375,0.025860309600830078
eval01,emotion,20,7,-0.0007801055908203125,-0.010779142379760742
eval01,emotion,20,8,-0.0017547607421875,-0.011590540409088135
eval01,emotion,20,9,-0.06184399127960205,-0.01557612419128418
eval01,emotion,20,10,-0.020155906677246094,0.048992156982421875
eval01,emotion,20,11,0.008160829544067383,0.024802207946777344
eval01,emotion,20,12,0.010869979858398438,0.010840177536010742
eval01,emotion,20,13,0.0075702667236328125,0.01455676555633545
eval01,emotion,20,14,0.016896992921829224,0.005261898040771484
eval01,emotion,20,15,0.017420411109924316,0.033240318298339844
eval01,emotion,20,16,-0.0033597946166992188,0.022884130477905273
eval01,emotion,20,17,0.018527626991271973,0.01799917221069336
eval01,emotion,20,18,0.008018255233764648,0.0076912641525268555
eval01,emotion,20,19,-0.03235548734664917,0.025719642639160156
eval01,emotion,20,20,0.010474205017089844,0.008501529693603516
eval01,emotion,27,1,0.005382537841796875,0.7369093894958496
eval01,emotion,27,2,0.5168170928955078,1.0589179992675781
eval01,emotion,27,3,-0.23572731018066406,-0.026580810546875
eval01,emotion,27,4,-0.09639358520507812,0.1935901641845703
eval01,emotion,27,5,0.1460418701171875,-0.07399749755859375
eval01,emotion,27,6,-0.11526012420654297,-0.013576507568359375
eval01,emotion,27,7,0.000827789306640625,0.06777739524841309
eval01,emotion,27,8,0.6949806213378906,0.03718280792236328
eval01,emotion,27,9,0.5030632019042969,-0.003932952880859375
eval01,emotion,27,10,0.35268402099609375,0.20515060424804688
eval01,emotion,27,11,0.09192657470703125,0.19816017150878906
eval01,emotion,27,12,-0.2819538116455078,-0.18889236450195312
eval01,emotion,27,13,-0.5090484619140625,0.31766223907470703
eval01,emotion,27,14,0.4629058837890625,0.11696624755859375
eval01,emotion,27,15,0.5970687866210938,0.21348440647125244
eval01,emotion,27,16,-0.17287540435791016,0.4863264560699463
eval01,emotion,27,17,5.91278076171875e-05,0.1731548309326172
eval01,emotion,27,18,-0.1919384002685547,0.14525485038757324
eval01,emotion,27,19,0.13166427612304688,-0.054106712341308594
eval01,emotion,27,20,-0.13334274291992188,0.11931800842285156
eval01,persona,20,1,0.11752796173095703,0.052050232887268066
eval01,persona,20,2,0.019762754440307617,-0.023841381072998047
eval01,persona,20,3,0.013039112091064453,0.0015079379081726074
eval01,persona,20,4,0.027804851531982422,0.0003027915954589844
eval01,persona,20,5,0.01742839813232422,0.02569103240966797
eval01,persona,20,6,0.020318984985351562,-0.008460044860839844
eval01,persona,20,7,-0.006069183349609375,-0.01060628890991211
eval01,persona,20,8,0.012491226196289062,-0.015586674213409424
eval01,persona,20,9,0.060079991817474365,-0.01542973518371582
eval01,persona,20,10,0.01912069320678711,0.020535945892333984
eval01,persona,20,11,-0.0018813610076904297,0.0353548526763916
eval01,persona,20,12,0.01369023323059082,-0.0014549493789672852
eval01,persona,20,13,0.011067390441894531,0.01911604404449463
