intervention,measurement_layer,distance,mean_delta_persona_projection,mean_delta_emotion_projection,n_questions
emotion,20,1,0.1876568913459778,0.4100258231163025,20
emotion,20,2,0.07882140874862671,0.16521219909191132,20
emotion,20,3,0.03353958129882813,0.08394517600536347,20
emotion,20,4,0.045500993728637695,0.0878283753991127,20
emotion,20,5,0.028928573429584502,0.046582138538360594,20
emotion,20,6,0.012488692998886108,0.043382617831230166,20
emotion,20,7,0.027564847469329835,0.03420693427324295,20
emotion,20,8,0.008584165573120117,0.029850476980209352,20
emotion,20,9,0.009736284613609314,0.02485300898551941,20
emotion,20,10,0.016641514003276826,0.038571405410766604,20
emotion,20,11,0.010505345463752747,0.02641603946685791,20
emotion,20,12,0.01434279978275299,0.022476387023925782,20
emotion,20,13,0.009919984638690949,0.02168335169553757,20
emotion,20,14,0.00921628624200821,0.014853721857070923,20
emotion,20,15,0.009910261631011963,0.03070980906486511,20
emotion,20,16,0.00642690658569336,0.02795869708061218,20
emotion,20,17,-0.003911840915679932,0.01435210406780243,20
emotion,20,18,0.004301419854164124,0.008320897817611694,20
emotion,20,19,0.00036410465836524966,0.013716250658035278,20
emotion,20,20,0.003533680737018585,0.007923346757888795,20
emotion,27,1,1.4277952194213868,2.1548243165016174,20
emotion,27,2,0.7425320148468018,1.0766705393791198,20
emotion,27,3,0.34212355613708495,0.6765669107437133,20
emotion,27,4,0.43425908088684084,0.5414460718631744,20
emotion,27,5,0.27501635551452636,0.20934996604919434,20
emotion,27,6,0.10728514194488525,0.2061642050743103,20
emotion,27,7,0.25255708694458007,0.19749085903167723,20
emotion,27,8,0.32412424087524416,0.2634649872779846,20
emotion,27,9,0.043390417098999025,0.0565399706363678,20
emotion,27,10,0.11901030540466309,0.22112371921539306,20
emotion,27,11,0.17349610328674317,0.26116294860839845,20
emotion,27,12,0.15637855529785155,0.1264159560203552,20
emotion,27,13,0.19257943630218505,0.10622667074203491,20
emotion,27,14,0.22972462177276612,0.2537407398223877,20
emotion,27,15,0.2560395359992981,0.19028618931770325,20
emotion,27,16,0.06656508445739746,0.12150033712387084,20
emotion,27,17,0.06407625675201416,0.09053692817687989,20
emotion,27,18,0.13704278469085693,0.10613995790481567,20
emotion,27,19,-0.04750404357910156,0.0885698676109314,20
emotion,27,20,0.05612112283706665,0.03961974382400513,20
persona,20,1,0.454246461391449,0.1784459114074707,20
persona,20,2,0.224773371219635,0.0843470424413681,20
persona,20,3,0.11001129150390625,0.03755565583705902,20
persona,20,4,0.11775610446929932,0.04170816391706467,20
persona,20,5,0.0598905548453331,0.024553412199020387,20
persona,20,6,0.05320421159267426,0.019972202181816102,20
persona,20,7,0.052368104457855225,0.007751896977424622,20
persona,20,8,0.041731393337249754,0.01158500611782074,20
persona,20,9,0.04030294716358185,0.015210109949111938,20
persona,20,10,0.05349049642682076,0.022704219818115233,20
persona,20,11,0.03036142885684967,0.015470725297927857,20
persona,20,12,0.03586546778678894,0.007341119647026062,20
persona,20,13,0.036710651218891145,0.0031823620200157167,20
persona,20,14,0.022626946866512298,0.00426933765411377,20
persona,20,15,0.02823847234249115,0.011977958679199218,20
persona,20,16,0.020284074544906616,0.0066099464893341064,20
persona,20,17,0.005073922872543335,0.007330194115638733,20
persona,20,18,0.00830424427986145,0.0045301496982574465,20
persona,20,19,0.011762197315692901,0.0020467042922973633,20
persona,20,20,0.011493027955293656,-0.004318720102310181,20
persona,27,1,4.577345609664917,2.279688024520874,20
persona,27,2,2.2078439712524416,1.0891809821128846,20
persona,27,3,1.3675538539886474,0.5679346919059753,20
persona,27,4,1.2508469581604005,0.47547374963760375,20
persona,27,5,0.8281280040740967,0.27737520933151244,20
persona,27,6,0.781722092628479,0.2861244797706604,20
persona,27,7,0.64138765335083,0.23428605794906615,20
persona,27,8,0.7564513206481933,0.23453303575515747,20
persona,27,9,0.578652811050415,0.19190459847450256,20
persona,27,10,0.7130078077316284,0.22425175905227662,20
persona,27,11,0.7689051628112793,0.3220622181892395,20
persona,27,12,0.5363465785980225,0.24387389421463013,20
persona,27,13,0.7533015012741089,0.15409709215164186,20
persona,27,14,0.68183753490448,0.18272624015808106,20
persona,27,15,0.5524271726608276,0.1891085684299469,20
persona,27,16,0.5295622229576111,0.17175334692001343,20
persona,27,17,0.36216888427734373,0.03928830623626709,20
persona,27,18,0.44163415431976316,0.15493299961090087,20
persona,27,19,0.3204216480255127,0.15435420274734496,20
persona,27,20,0.3570834755897522,0.16947576999664307,20
