layer,clean_emotion_k80,clean_emotion_rank,clean_projection_top80,clean_projection_full,clean_principal_angle_deg,clean_random_expected,clean_random_p,raw_emotion_k80,raw_projection_top80,raw_projection_full,raw_random_expected,raw_random_p,mean_pair_projection_fraction,std_pair_projection_fraction,min_pair_projection_fraction,clean_random_p_bonferroni,raw_random_p_bonferroni,mean_pairwise_cosine,min_pairwise_cosine,emotion_valence_strength,mean_split_half_cosine,median_split_half_cosine,neutral_components_removed,stage1_selected_layer
0,41,170,0.31440308690071106,0.45404770970344543,55.89463124391852,0.011465324384787472,1.2670330963471639e-254,40,0.3235451579093933,0.4673033654689789,0.011160714285714286,3.6633288912797904e-266,0.2975042760372162,0.02793579176068306,0.27603766322135925,3.547692669772059e-253,1.0257320895583413e-264,0.8275490999221802,0.6459242105484009,0.5876359569845347,0.9946210384368896,0.9952411651611328,8,False
1,38,170,0.3130565881729126,0.4474712908267975,55.97776422215257,0.010626398210290829,1.3765061477211316e-255,36,0.3396719694137573,0.4798848628997803,0.010044642857142858,1.019556430973204e-287,0.30231156945228577,0.03408699855208397,0.2600209712982178,3.8542172136191686e-254,2.854758006724971e-286,0.841805100440979,0.6585127115249634,0.5054611123997897,0.9952683448791504,0.9957934021949768,8,False
2,38,170,0.31371572613716125,0.4379013478755951,55.93705687176539,0.010626398210290829,2.6161716058975665e-256,36,0.3198149800300598,0.44862180948257446,0.010044642857142858,2.4608914683281427e-265,0.30025678873062134,0.03217416629195213,0.2775954306125641,7.325280496513187e-255,6.8904961113187995e-264,0.8047444224357605,0.6150879263877869,0.5570357224400271,0.9952226877212524,0.9957875609397888,8,False
3,11,170,0.09715000540018082,0.4238441586494446,71.83895565378707,0.0030700530281886685,1.261245198422111e-71,1,0.06224615499377251,0.4594569206237793,0.00027901785714285713,5.285729505661287e-52,0.09434277564287186,0.021243592724204063,0.07254352420568466,3.531486555581911e-70,1.4800042615851605e-50,0.8242851495742798,0.6300390958786011,0.1369479015538602,0.9882616996765136,0.9911314845085144,1,False
4,9,170,0.058410704135894775,0.40302321314811707,76.0141024413927,0.0025118615685180016,2.021839017926794e-41,1,0.0747198686003685,0.4468148648738861,0.00027901785714285713,1.8411294463678809e-62,0.055707961320877075,0.009568101726472378,0.042840443551540375,5.661149250195023e-40,5.1551624498300665e-61,0.829428493976593,0.6394127607345581,0.1765818798958311,0.9864959120750428,0.9901174902915956,1,False
5,9,170,0.06804239004850388,0.4191676080226898,74.87953371533196,0.0025118615685180016,3.598145437966656e-49,1,0.1223529577255249,0.49063703417778015,0.00027901785714285713,1.0906961699398206e-103,0.06538639962673187,0.013374383561313152,0.05215119197964668,1.0074807226306636e-47,3.053949275831498e-102,0.8476678133010864,0.6775427460670471,0.1820838235132874,0.9875540137290956,0.9911047220230104,1,False
6,8,170,0.0639372318983078,0.42199185490608215,75.35329395436742,0.0022327658386826683,1.305118101958904e-46,1,0.07610540091991425,0.4661163091659546,0.00027901785714285713,1.2450894307160954e-63,0.06280294060707092,0.016691099852323532,0.04968095198273659,3.654330685484931e-45,3.486250406005067e-62,0.8411463499069214,0.6766948103904724,0.1751187749614454,0.98717600107193,0.9910476803779602,1,False
7,14,170,0.15246176719665527,0.4282066524028778,67.01665542157383,0.003909522479754258,4.311777130172551e-117,1,0.12369894236326218,0.49575158953666687,0.00027901785714285713,6.9374610710462286e-105,0.14450465142726898,0.014444931410253048,0.12223147600889206,1.2072975964483143e-115,1.942489099892944e-103,0.8516454696655273,0.7071913480758667,0.2218289967405529,0.9833775758743286,0.9875428080558776,3,False
8,13,170,0.15222084522247314,0.4213975965976715,67.03586198802374,0.0036312849162011174,1.0727282472629547e-117,1,0.08147425204515457,0.4656500518321991,0.00027901785714285713,3.515988412904035e-68,0.14212742447853088,0.01292426697909832,0.12086232751607895,3.003639092336273e-116,9.844767556131297e-67,0.8334832191467285,0.6875241994857788,0.1626248793002649,0.9827004671096802,0.987101912498474,4,False
9,13,170,0.12983903288841248,0.4071873426437378,68.87942332472845,0.0036363636363636364,9.625910848118917e-98,1,0.12795692682266235,0.48012322187423706,0.00027901785714285713,1.1069969399634727e-108,0.11892063915729523,0.00830621924251318,0.10868033021688461,2.6952550374732966e-96,3.0995914318977237e-107,0.8385881185531616,0.6997856497764587,0.2948019869971112,0.9848318099975586,0.9884264469146729,9,False
10,11,170,0.12913350760936737,0.4376194477081299,68.93962463094239,0.003076923076923077,8.204652608104971e-99,1,0.12821368873119354,0.4997502565383911,0.00027901785714285713,6.525229397050678e-109,0.11742786318063736,0.008253642357885838,0.10473182797431946,2.297302730269392e-97,1.82706423117419e-107,0.8465157747268677,0.7005234360694885,0.2392769587974072,0.9858678579330444,0.989354968070984,9,False
11,11,170,0.15262021124362946,0.4693940281867981,67.00403087041397,0.003076923076923077,1.2044283509561168e-119,1,0.1372237205505371,0.5308849215507507,0.00027901785714285713,5.211134469484321e-117,0.13915538787841797,0.010242673568427563,0.12423241138458252,3.372399382677127e-118,1.4591176514556098e-115,0.8519328236579895,0.704360842704773,0.2684533681252235,0.985752284526825,0.9892005324363708,9,False
12,11,170,0.1620914191007614,0.4501749277114868,66.25881985031619,0.003076062639821029,2.8933483036425804e-128,1,0.10657075047492981,0.49804267287254333,0.00027901785714285713,8.59500101147651e-90,0.14797073602676392,0.009563950821757317,0.1332726627588272,8.101375250199225e-127,2.4066002832134227e-88,0.8490397334098816,0.6977309584617615,0.4413666763370268,0.9846768975257874,0.9884095191955566,8,False
13,17,170,0.15923383831977844,0.4353465437889099,66.48175027408283,0.0047539149888143175,1.6686827344913012e-120,1,0.10122239589691162,0.48409244418144226,0.00027901785714285713,3.882134869537612e-85,0.14643725752830505,0.010466545820236206,0.13435418903827667,4.6723116565756434e-119,1.0869977634705314e-83,0.8368760943412781,0.664883017539978,0.7148270786300804,0.981504499912262,0.9859007000923156,8,False
14,17,170,0.1364472508430481,0.4027438163757324,68.32214172353501,0.0047539149888143175,2.4422056038040597e-100,2,0.0985509380698204,0.4298637807369232,0.0005580357142857143,1.9937619777841514e-81,0.12697726488113403,0.009898503310978413,0.11277063935995102,6.838175690651367e-99,5.582533537795624e-80,0.8391956090927124,0.6868802309036255,0.7204213241588796,0.9820308685302734,0.986174464225769,8,False
15,16,170,0.13660432398319244,0.44162261486053467,68.30903595334506,0.0044742729306487695,2.951445534973955e-101,2,0.10656018555164337,0.46865755319595337,0.0005580357142857143,2.280111146547806e-88,0.13001880049705505,0.014946334064006805,0.11155769228935242,8.264047497927074e-100,6.384311210333856e-87,0.8469167947769165,0.6960657835006714,0.7218259377784477,0.9832634925842284,0.986907720565796,8,False
16,15,170,0.12628836929798126,0.4394659399986267,69.18383155984974,0.004193458205199888,4.070545419808881e-93,2,0.09976471215486526,0.4693007469177246,0.0005580357142857143,1.7850665560932928e-82,0.12110047042369843,0.01621909998357296,0.09842660278081894,1.1397527175464866e-91,4.99818635706122e-81,0.8502455949783325,0.6978371143341064,0.713835353513594,0.9828263521194458,0.986774742603302,7,False
17,15,170,0.14692804217338562,0.4581100046634674,67.46101675187653,0.004193458205199888,3.4997386788732976e-111,3,0.09414397925138474,0.4775230288505554,0.0008370535714285714,1.9122481900904092e-76,0.1410113275051117,0.015376010909676552,0.11783289164304733,9.799268300845233e-110,5.354294932253146e-75,0.8543817400932312,0.7097517848014832,0.7228000355134807,0.9827563166618348,0.986873745918274,7,False
18,16,170,0.13914871215820312,0.4458148181438446,68.09761386319576,0.004473022085546547,1.6320320063515104e-103,3,0.09669183194637299,0.4647256135940552,0.0008370535714285714,1.2505520298607987e-78,0.13537712395191193,0.014548801816999912,0.1157686859369278,4.569689617784229e-102,3.501545683610236e-77,0.8560102581977844,0.7199623584747314,0.748114108765718,0.983353555202484,0.986842393875122,7,False
19,17,170,0.16434912383556366,0.475475937128067,66.08380717036827,0.004752585965893207,3.7206850727597134e-125,7,0.11689823865890503,0.49304550886154175,0.001953125,5.309384396976532e-92,0.15860486030578613,0.008400755003094673,0.1479707658290863,1.0417918203727197e-123,1.486627631153429e-90,0.8851054906845093,0.7951827049255371,0.7091287407445819,0.9816348552703856,0.9857326149940492,7,True
20,17,170,0.1780054271221161,0.46697551012039185,65.04496366838347,0.004752585965893207,1.2365389373559602e-137,10,0.13003748655319214,0.4738013744354248,0.0027901785714285715,9.571443554723347e-101,0.1699008345603943,0.007231599185615778,0.16101381182670593,3.4623090245966886e-136,2.680004195322537e-99,0.8824130892753601,0.7923789024353027,0.7209410408391608,0.981221318244934,0.9854605197906494,7,False
21,21,170,0.18420498073101044,0.4533271789550781,64.58376518098258,0.00587248322147651,4.978135630361489e-140,16,0.15323083102703094,0.46878308057785034,0.004464285714285714,3.1906105326589087e-116,0.17532990872859955,0.006117775104939938,0.1702042669057846,1.3938779765012168e-138,8.933709491444945e-115,0.8816097974777222,0.7824161052703857,0.7441854199940289,0.9780187606811525,0.9833418726921082,8,False
22,23,170,0.16566172242164612,0.4225013256072998,65.98250134678203,0.0064335664335664336,1.5030183712551216e-121,20,0.17626476287841797,0.4353204667568207,0.005580357142857143,7.392048501097399e-134,0.15726670622825623,0.0070807551965117455,0.1454530507326126,4.20845143951434e-120,2.0697735803072717e-132,0.8693186044692993,0.763137698173523,0.7245140721249117,0.9773843288421632,0.9826767444610596,9,False
23,26,170,0.16834670305252075,0.4325506091117859,65.77627133893711,0.007274762171236709,1.0789111864251625e-121,23,0.18694941699504852,0.4529537558555603,0.006417410714285714,2.5034479354104988e-141,0.16050219535827637,0.0099331084638834,0.14305078983306885,3.020951321990455e-120,7.009654219149397e-140,0.8838807940483093,0.7907686233520508,0.7322551811905282,0.9756425023078918,0.980860471725464,10,False
