layer,pair_id,emotion_persona_invariance_cosine,persona_emotion_invariance_cosine,interaction_norm,interaction_relative
0,sp1,0.9955907,0.9970352,0.03778096,0.094779894
1,sp1,0.99561954,0.9966749,0.05300303,0.09541018
2,sp1,0.9937887,0.9968988,0.083333015,0.11289759
3,sp1,0.995664,0.99684775,0.096761286,0.09379261
4,sp1,0.99688375,0.99614525,0.10940751,0.07951172
5,sp1,0.9972144,0.9949869,0.110695444,0.07506504
6,sp1,0.99770844,0.9931943,0.12390762,0.068002
7,sp1,0.9985738,0.99194473,0.13977388,0.053791508
8,sp1,0.99874336,0.99249977,0.16171883,0.050280865
9,sp1,0.9986336,0.9910039,0.2009777,0.05285648
10,sp1,0.9984109,0.9901018,0.24420142,0.057006244
11,sp1,0.9983932,0.98896694,0.25592297,0.057657454
12,sp1,0.99785614,0.9862999,0.3155922,0.06744709
13,sp1,0.9971374,0.98187256,0.4146555,0.07871205
14,sp1,0.9967043,0.9828607,0.47949964,0.08525993
15,sp1,0.9950213,0.9809768,0.6181375,0.103789225
16,sp1,0.9942774,0.9791859,0.6729263,0.11096434
17,sp1,0.9940933,0.97974527,0.7101099,0.112965055
18,sp1,0.9917886,0.9775473,0.99158096,0.13656372
19,sp1,0.9913104,0.98363644,1.3166448,0.13954748
20,sp1,0.99115515,0.9802958,1.6649387,0.14207812
21,sp1,0.9915722,0.978301,1.982143,0.13854021
22,sp1,0.9919388,0.9761455,2.396655,0.13623847
23,sp1,0.9923156,0.97686523,2.7995992,0.13399686
24,sp1,0.9924592,0.9766655,3.302045,0.13331223
25,sp1,0.9926673,0.9774059,3.7963347,0.13123858
26,sp1,0.9923941,0.97958416,4.455836,0.13137645
27,sp1,0.9938259,0.9797269,4.4755054,0.12246844
0,sp2,0.99742347,0.9970658,0.028740024,0.071851775
1,sp2,0.997019,0.9970059,0.042921606,0.077216506
2,sp2,0.99558246,0.99821734,0.06909356,0.09403611
3,sp2,0.9968495,0.99752885,0.08162108,0.07939062
4,sp2,0.99744457,0.9968598,0.098426916,0.07165511
5,sp2,0.9969877,0.99431247,0.114718705,0.0776933
6,sp2,0.9975302,0.99442947,0.12771666,0.07049239
7,sp2,0.9982482,0.9923055,0.1528991,0.059195638
8,sp2,0.9971783,0.9870288,0.24057274,0.07512118
9,sp2,0.99638796,0.98259187,0.32149905,0.08499967
10,sp2,0.9956912,0.98250246,0.39730507,0.09289379
11,sp2,0.9959123,0.97984785,0.40208897,0.09050373
12,sp2,0.99552464,0.9840735,0.4469087,0.09496861
13,sp2,0.994911,0.98637676,0.5383254,0.101714395
14,sp2,0.9952349,0.9843377,0.56679165,0.100256585
15,sp2,0.99369127,0.98756886,0.6811956,0.11389482
16,sp2,0.99362785,0.9871259,0.69898975,0.11468587
17,sp2,0.9931432,0.98522455,0.74942493,0.1187847
18,sp2,0.9901864,0.9839591,1.0488176,0.1438103
19,sp2,0.9897393,0.98564935,1.4152211,0.14857337
20,sp2,0.9888616,0.98197824,1.8399513,0.15535113
21,sp2,0.9886953,0.9796432,2.265034,0.15665141
22,sp2,0.9887195,0.9750068,2.8270168,0.15917109
23,sp2,0.989408,0.9744388,3.2839231,0.15556143
24,sp2,0.99000156,0.97334194,3.809746,0.1522721
25,sp2,0.9902917,0.9716689,4.414528,0.15127702
26,sp2,0.9891699,0.9707846,5.409967,0.15840347
27,sp2,0.98887897,0.96789443,6.0430765,0.1644304
0,sp3,0.9964248,0.99737966,0.033641364,0.08462978
1,sp3,0.9967996,0.99659,0.044498682,0.080223545
2,sp3,0.9962706,0.99715245,0.06349382,0.08647666
3,sp3,0.9974394,0.9969516,0.07345715,0.071570314
4,sp3,0.998179,0.9959838,0.082778834,0.060374573
5,sp3,0.9982723,0.99470365,0.086541206,0.058786746
6,sp3,0.99826574,0.99112433,0.10670355,0.058956455
7,sp3,0.998726,0.99109954,0.13019754,0.050607964
8,sp3,0.99851894,0.9895444,0.17431858,0.05468422
9,sp3,0.9984913,0.98984903,0.20740177,0.055013005
10,sp3,0.99838525,0.9904202,0.24393703,0.05728698
