layer,mean_pairwise_cosine,min_pairwise_cosine,valid_prompt_pairs
0,0.8275490999221802,0.6459242105484009,5
1,0.841805100440979,0.6585127115249634,5
2,0.8047444224357605,0.6150879263877869,5
3,0.8242851495742798,0.6300390958786011,5
4,0.829428493976593,0.6394127607345581,5
5,0.8476678133010864,0.6775427460670471,5
6,0.8411463499069214,0.6766948103904724,5
7,0.8516454696655273,0.7071913480758667,5
8,0.8334832191467285,0.6875241994857788,5
9,0.8385881185531616,0.6997856497764587,5
10,0.8465157747268677,0.7005234360694885,5
11,0.8519328236579895,0.704360842704773,5
12,0.8490397334098816,0.6977309584617615,5
13,0.8368760943412781,0.664883017539978,5
14,0.8391956090927124,0.6868802309036255,5
15,0.8469167947769165,0.6960657835006714,5
16,0.8502455949783325,0.6978371143341064,5
17,0.8543817400932312,0.7097517848014832,5
18,0.8560102581977844,0.7199623584747314,5
19,0.8851054906845093,0.7951827049255371,5
20,0.8824130892753601,0.7923789024353027,5
21,0.8816097974777222,0.7824161052703857,5
22,0.8693186044692993,0.763137698173523,5
23,0.8838807940483093,0.7907686233520508,5
24,0.881127655506134,0.7877854108810425,5
25,0.8799358606338501,0.7836099863052368,5
26,0.8684595227241516,0.7615172863006592,5
27,0.8820012807846069,0.7879337072372437,5
